,date,cellID,genotype,Cm (pF),RMP (mV),Ina at 0mV (pA),Rs (Mohms),Rin (Mohm),Ih (pA),Ih voltage (mV),M current(pA),M current voltage (mV),c(ulture)/f(ridge)/k(nown),size of neuron,comment,rheobase (pA),rheobase (pA) 500ms,Ih density (pA/pF),Mcurrent density (pA/pF)
18518cell4,18518,cell4,WT,32.3,-56.5,-6779.1748046875,9.7,130.0,"[-1.69, -25.24, -105.14, -1.34, 147.43]","[-70, -80, -90, -100, -110]","[38.7, 19.79, -14.39, -1.69]","[-40, -50, -60, -70]",c,l,,1545,,,
18518cell5,18518,cell5,WT,62.5,-63.0,-5764.7705078125,4.8,700.0,"[-30.93, -64.21, -65.04, -85.94, 304.2]","[-70, -80, -90, -100, -110]","[204.73, 62.94, 20.28, -30.93]","[-40, -50, -60, -70]",c,l,,2345,,,
18517cell1,18517,cell1,WT,60.2,-55.4,-11273.8037109375,5.6,110.0,"[50.3, 150.52, 316.23, 528.84, 718.06]","[-70, -80, -90, -100, -110]","[272.46, 139.19, 40.28, 50.3]","[-40, -50, -60, -70]",u,l,,2085,,,
18517cell2,18517,cell2,WT,110.7,-58.9,-12407.8369140625,5.8,60.0,"[-155.85, -202.17, -55.12, 194.16, 219.89]","[-70, -80, -90, -100, -110]","[380.78, 187.85, 109.13, -155.85]","[-40, -50, -60, -70]",u,l,llo is0.30lhi0.31,,,,
18517cell3,18517,cell3,WT,6.6,-52.3,-4208.3740234375,10.7,1710.0,"[-1.36, 0.12, 1.2, 10.4, 19.32]","[-70, -80, -90, -100, -110]","[8.09, 0.13, -0.2, -1.36]","[-40, -50, -60, -70]",u,s,multiplespikes,0,,,
18517cell4,18517,cell4,WT,59.7,-75.0,-6782.8369140625,10.0,40.0,"[311.15, 98.39, 53.49, 84.45, 110.61]","[-70, -80, -90, -100, -110]","[460.68, 379.14, 441.25, 311.15]","[-40, -50, -60, -70]",u,l,nofiringfireatstep,,,,
18517cell5,18517,cell5,WT,13.3,-67.5,-5057.373046875,12.2,1660.0,"[4.1, 9.43, 15.34, 21.29, 26.5]","[-70, -80, -90, -100, -110]","[9.91, 0.68, 1.46, 4.1]","[-40, -50, -60, -70]",u,s,sponfireat-45,0,,,
18517cell6,18517,cell6,WT,38.9,-56.2,-12313.232421875,7.1,420.0,"[-13.79, -19.93, -20.47, -19.78, -25.26]","[-70, -80, -90, -100, -110]","[10.73, -0.18, -10.42, -13.79]","[-40, -50, -60, -70]",u,l,weirdshape,2525,,,
18515cell2,18515,cell2,WT,47.4,-59.7,-13012.6953125,7.0,100.0,"[42.04, 89.15, 156.76, 244.96, 322.73]","[-70, -80, -90, -100, -110]","[59.73, 99.24, 77.04, 42.04]","[-40, -50, -60, -70]",u,l,,2715,,,
18515cell3,18515,cell3,WT,33.8,-64.1,-3157.3486328125,9.0,120.0,"[-6.26, -16.06, 0.27, 25.68, 62.57]","[-70, -80, -90, -100, -110]","[163.52, 82.42, 47.25, -6.26]","[-40, -50, -60, -70]",u,u, ;llo is0.31lhi0.32 ;,2630,,,
